Shot,Start(s),Duration(s),FastVLM_Time(s),FastVLM_Description,FastVLM_Genre,FastVLM_Mood,FastVLM_Setting,FastVLM_Placeholder,Qwen3_Time(s),Qwen3_Description,Qwen3_Genre,Qwen3_Mood,Qwen3_Setting,Time_Diff(s),Speed_Ratio
19,63.19,1.63,19.59,"A cartoon character with curly hair and a blue top is smiling at the camera. The background is a light blue with a subtle pattern. The character has large hoop earrings and is looking directly at the viewer. The image has a timestamp of 15:04 in the bottom right corner. The image is likely from a video or animation. The scene is set in an urban environment. The mood is joyful, and the setting cont",Animation,Joyful,Home,No,20.73,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.13,1.06x
20,64.81,3.00,19.90,"A joyful African American girl with curly hair is smiling while looking at a laptop with a cat sleeping beside her, suggesting a cozy and heartwarming scene.",Animation,Joyful,Home,No,21.52,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.62,1.08x
21,67.81,1.50,19.50,"{ ""ShotDescription"": ""A cartoon character with a joyful expression, set against a light blue background with a subtle rainbow effect. The character has large, curly black hair and is smiling, with a small mole on the left side of her face. The image is framed by a gray border and has a timestamp of 12:03 in the bottom right corner. The scene is likely from a video or animation, and the content des",,,,No,21.54,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,2.04,1.10x
22,69.32,4.38,19.49,"A young girl with curly hair is sitting at a desk, looking at a laptop with a cat beside her. The cat is gray and white, and both are looking at the laptop screen. The girl is wearing a pink top and has a thoughtful expression on her face. The scene is set in a home environment with a green wall in the background. The image has a warm and cozy feel, with the characters appearing to be in a comfort",Animation,Joyful,Home,No,21.12,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.63,1.08x
23,73.70,1.58,19.64,"A cartoon character with a joyful expression, holding a green bottle, set against a light blue background with a white border. The character has dark skin, black hair, and is wearing a green tank top. The image has a timestamp of 11:31 in the bottom right corner. The scene is set in an urban environment. The content descriptors include characters, animation, family, heartwarming, joyful, home, int",Animation,Joyful,Home,No,21.06,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.42,1.07x
24,75.28,0.67,19.54,"A cartoon character with a joyful expression is depicted in a family setting, with a clear sky in the background.",Animation,Joyful,Home,No,21.05,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.51,1.08x
25,75.95,1.79,20.92,"A cartoon girl with a big afro is sitting at a desk in front of a laptop, surrounded by stickers. The scene is set in a home environment, with a brick wall in the background. The girl is smiling and appears to be happy. The image is in a cartoon style and has a family theme. The mood is joyful, and the setting is home. The content descriptors include characters, location context, and search keywor",Animation,Joyful,Home,No,21.21,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,0.28,1.01x

=== SUMMARY STATISTICS ===

Metric,,,FastVLM,,,,,Qwen3
Total Shots Processed,,,25,,,,,25
Total Processing Time,,,545.8s,,,,,574.9s
Average Time per Shot,,,21.8s,,,,,23.0s
Placeholder Text,,,5/25 (20.0%),,,,,0/25 (0%)
Processing Errors,,,0/25 (0%),,,,,25/25 (100.0%)
Unique Descriptions,,,24/25 (96.0%),,,,,N/A
Real Descriptions,,,20/25 (80.0%),,,,,0/25 (0.0%)
