Shot,Start(s),Duration(s),FastVLM_Time(s),FastVLM_Description,FastVLM_Genre,FastVLM_Mood,FastVLM_Setting,FastVLM_Placeholder,Qwen3_Time(s),Qwen3_Description,Qwen3_Genre,Qwen3_Mood,Qwen3_Setting,Time_Diff(s),Speed_Ratio
14,44.17,10.55,34.74,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""Content describers"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKey",,,,Yes,61.15,"A low-angle view of a bathroom with a white bathtub, green tiled walls, a framed abstract painting, and a pink polka-dotted object in the foreground.",infer from image,"peaceful, quiet, reflective, dreamlike","a bathroom, a room with tiled walls, a bathtub",26.41,1.76x
15,54.72,1.46,19.64,"{ ""ShotDescription"": ""A cartoon character is interacting with a computer screen displaying a hair care website, with the website's name 'Hair Love' prominently displayed. The character is holding up a finger as if to point at something on the screen. The scene is set in a home environment, with the character's hair styled in a curly afro. The content descriptors include ""Characters"", ""LocationHint",,,,No,40.52,"An animated character with dark, curly hair is looking at a laptop screen displaying a YouTube channel page titled 'Hair Love' with various video thumbnails and a follower count of 649,810.",animated,"focused, curious, reflective","a room with a blue-green wall, a desk or table",20.88,2.06x
16,56.18,3.88,19.58,"A screenshot of a YouTube channel page for 'Hair Love', which has 649,810 followers and 1,817,633 plays. The channel features a cartoon style, family-oriented content, and is set in an urban USA. The content descriptors include characters, family, and a tutorial area. The location hints are urban and USA.",Animation,Joyful,Home,No,41.32,"A screenshot of a YouTube channel page for 'Hair Love', featuring a cartoon illustration of a woman with curly hair, a purple and black banner with the channel name, and a 'Follow' button.",inference from visual style,"friendly, inviting, professional","online, web interface, social media platform",21.74,2.11x
17,60.06,1.13,19.60,"A cartoon character with a joyful expression, wearing a blue shirt, is standing in a room with a blue wall and a window in the background. The character has short black hair and is smiling. The scene is set in a home environment. The mood is joyful, and the setting context is family. The content descriptors include characters, location hints, and search keywords. The genre cues include cartoon sty",Animation,Joyful,Home,No,44.34,"A blurry, horizontal split-screen image showing two cartoon-style characters with dark skin and black hair, one with a large afro and the other with a short, spiky hairstyle, both with simple facial features and wearing glasses.",infer from image,"neutral, calm, artistic","inanimate background, light-colored wall, abstract",24.74,2.26x
18,61.18,2.00,19.62,"{ ""ShotDescription"": ""A young girl with curly hair is sitting at a desk with a laptop, while a cat is sitting next to her. The girl is smiling and looking at the camera. The scene has a heartwarming and joyful mood, and the setting is a home. The content descriptors include ""family"", ""animation"", and ""joyful"". The location hints are urban and international, and the search keywords are ""family"" and",,,,No,38.57,"A young girl with a large afro and a grey cat with a grumpy expression sit at a table, looking at a laptop with stickers on it.",inferred from visual style,"playful, curious, friendly","a bathroom, a table, a wall with a towel rack",18.94,1.97x
19,63.19,1.63,19.59,"A cartoon character with curly hair and a blue top is smiling at the camera. The background is a light blue with a subtle pattern. The character has large hoop earrings and is looking directly at the viewer. The image has a timestamp of 15:04 in the bottom right corner. The image is likely from a video or animation. The scene is set in an urban environment. The mood is joyful, and the setting cont",Animation,Joyful,Home,No,38.28,"A cartoon illustration of a young Black woman with curly hair styled in braids, wearing large gold hoop earrings and a blue top, smiling at the camera with a video player interface showing a timestamp of 15:04.",cartoon,"positive, energetic, playful","digital screen, video player",18.69,1.95x
20,64.81,3.00,19.90,"A joyful African American girl with curly hair is smiling while looking at a laptop with a cat sleeping beside her, suggesting a cozy and heartwarming scene.",Animation,Joyful,Home,No,48.61,"A young girl with voluminous dark curly hair sits at a table, smiling as she looks at a laptop adorned with colorful stickers, while a grey cat with closed eyes rests beside her.",animation,"happy, content, joyful, curious, peaceful","interior, home, table, window, brick wall",28.71,2.44x
21,67.81,1.50,19.50,"{ ""ShotDescription"": ""A cartoon character with a joyful expression, set against a light blue background with a subtle rainbow effect. The character has large, curly black hair and is smiling, with a small mole on the left side of her face. The image is framed by a gray border and has a timestamp of 12:03 in the bottom right corner. The scene is likely from a video or animation, and the content des",,,,No,47.37,"A digital animation of a young Black girl with curly hair in pigtails, smiling and looking at the viewer, displayed in a video frame with a play button and timestamp.",infer from image,"happy, content, welcoming","a digital interface, possibly a video player or a social media platform",27.87,2.43x
22,69.32,4.38,19.49,"A young girl with curly hair is sitting at a desk, looking at a laptop with a cat beside her. The cat is gray and white, and both are looking at the laptop screen. The girl is wearing a pink top and has a thoughtful expression on her face. The scene is set in a home environment with a green wall in the background. The image has a warm and cozy feel, with the characters appearing to be in a comfort",Animation,Joyful,Home,No,43.89,"A young girl with a large afro and a grey and white cat are sitting at a table, looking at a laptop with colorful stickers on it.",infer from image,"focused, curious, thoughtful","a bathroom, a table, a wall with a towel rack",24.41,2.25x
23,73.70,1.58,19.64,"A cartoon character with a joyful expression, holding a green bottle, set against a light blue background with a white border. The character has dark skin, black hair, and is wearing a green tank top. The image has a timestamp of 11:31 in the bottom right corner. The scene is set in an urban environment. The content descriptors include characters, animation, family, heartwarming, joyful, home, int",Animation,Joyful,Home,No,46.67,"A cartoon-style illustration of a young woman with dark skin and long, flowing black hair, wearing a green top and gold hoop earrings, holding a green hair dryer and smiling as her hair is being styled.",infer from image,"positive, energetic, joyful","a bathroom, a mirror, a video recording",27.03,2.38x
24,75.28,0.67,19.54,"A cartoon character with a joyful expression is depicted in a family setting, with a clear sky in the background.",Animation,Joyful,Home,No,36.44,"A cartoon-style illustration of a young Black woman with a large afro, wearing a green top and gold hoop earrings, smiling with her eyes closed in a peaceful expression.",infer from image,"serene, contentment, joyful",a simple background with a light blue sky,16.91,1.87x
25,75.95,1.79,20.92,"A cartoon girl with a big afro is sitting at a desk in front of a laptop, surrounded by stickers. The scene is set in a home environment, with a brick wall in the background. The girl is smiling and appears to be happy. The image is in a cartoon style and has a family theme. The mood is joyful, and the setting is home. The content descriptors include characters, location context, and search keywor",Animation,Joyful,Home,No,39.06,"A young girl with a large afro hairstyle is sitting in a bathroom, looking at a laptop with stickers on the screen.",infer from image,"curious, focused, innovative","bathroom, modern interior, brick wall",18.14,1.87x

=== SUMMARY STATISTICS ===

Metric,,,FastVLM,,,,,Qwen3
Total Shots Processed,,,25,,,,,25
Total Processing Time,,,545.8s,,,,,1566.8s
Average Time per Shot,,,21.8s,,,,,62.7s
Placeholder Text,,,5/25 (20.0%),,,,,0/25 (0%)
Processing Errors,,,0/25 (0%),,,,,0/25 (0.0%)
Unique Descriptions,,,24/25 (96.0%),,,,,25/25 (100.0%)
Real Descriptions,,,20/25 (80.0%),,,,,25/25 (100.0%)
