Shot,Start(s),Duration(s),FastVLM_Time(s),FastVLM_Description,FastVLM_Genre,FastVLM_Mood,FastVLM_Setting,FastVLM_Placeholder,Qwen3_Time(s),Qwen3_Description,Qwen3_Genre,Qwen3_Mood,Qwen3_Setting,Time_Diff(s),Speed_Ratio
14,44.17,10.55,33.64,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""Content describers"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKey",,,,Yes,54.80,"A low-angle view of a bathroom with a white bathtub, green tiled walls, a framed abstract painting, and a pink polka-dotted object in the corner, all under soft, diffused light.",infer from image,"peaceful, reflective, quiet","a bathroom, a room with tiled walls, a bathtub",21.16,1.63x
15,54.72,1.46,20.67,"{ ""ShotDescription"": ""A cartoon character is interacting with a website that is focused on hair care, as indicated by the title 'Hair Love' and the images of women with different hairstyles. The character is holding up a phone to the screen, suggesting they are browsing or selecting a hairstyle. The scene is set in an urban environment, and the content descriptors include characters, hairstyles, a",,,,No,39.93,"A person with dark, curly hair is looking at a laptop screen displaying a YouTube channel named 'Hair Love', which has 649,810 followers.",animation,"intense, concentrated, introspective","an indoor setting, likely a room or office, with a simple, modern background",19.26,1.93x

=== SUMMARY STATISTICS ===

Metric,,,FastVLM,,,,,Qwen3
Total Shots Processed,,,15,,,,,15
Total Processing Time,,,343.9s,,,,,1042.3s
Average Time per Shot,,,22.9s,,,,,69.5s
Placeholder Text,,,5/15 (33.3%),,,,,0/15 (0%)
Unique Descriptions,,,14/15 (93.3%),,,,,15/15 (100.0%)
Real Descriptions,,,10/15 (66.7%),,,,,15/15 (100%)
